char	codepoint	block	sources	noto-sans-tc	babelstone-han	i-ming
㑳	u+3473	CJK Unified Ideographs Extension A	lim_1997	True	True	True
㑺	u+347a	CJK Unified Ideographs Extension A	ghou_lim_1983	True	True	False
㓦	u+34e6	CJK Unified Ideographs Extension A	lim_1997	True	True	True
㕶	u+3576	CJK Unified Ideographs Extension A	ghou_lim_1983	False	True	True
㖸	u+35b8	CJK Unified Ideographs Extension A	ghou_lim_1983	False	True	True
㖹	u+35b9	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997	False	True	True
㗅	u+35c5	CJK Unified Ideographs Extension A	li_1959	True	True	True
㗑	u+35d1	CJK Unified Ideographs Extension A	ghou_lim_1983;lim_1997	False	True	False
㗱	u+35f1	CJK Unified Ideographs Extension A	li_1959	True	True	True
㘥	u+3625	CJK Unified Ideographs Extension A	lim_1997	True	True	True
㙟	u+365f	CJK Unified Ideographs Extension A	lim_1997	True	True	False
㜁	u+3701	CJK Unified Ideographs Extension A	lim_1997	True	True	False
㜷	u+3737	CJK Unified Ideographs Extension A	li_lim_1992	False	True	True
㞘	u+3798	CJK Unified Ideographs Extension A	lim_1997	False	True	True
㟖	u+37d6	CJK Unified Ideographs Extension A	lim_1997	True	True	False
㟤	u+37e4	CJK Unified Ideographs Extension A	lim_1997	False	True	False
㠖	u+3816	CJK Unified Ideographs Extension A	lim_1997	False	True	True
㦸	u+39b8	CJK Unified Ideographs Extension A	ghou_lim_1983	True	True	True
㧃	u+39c3	CJK Unified Ideographs Extension A	li_1959	False	False	True
㧫	u+39eb	CJK Unified Ideographs Extension A	li_1959	False	True	True
㧻	u+39fb	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997	True	True	True
㨟	u+3a1f	CJK Unified Ideographs Extension A	li_lim_1992	False	True	True
㨮	u+3a2e	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997	False	True	True
㩋	u+3a4b	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997	True	True	True
㩍	u+3a4d	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997	False	False	True
㩒	u+3a52	CJK Unified Ideographs Extension A	lim_1997	True	True	True
㩟	u+3a5f	CJK Unified Ideographs Extension A	lim_1997	False	True	False
㩳	u+3a73	CJK Unified Ideographs Extension A	lim_1997	False	True	True
