char	codepoint	block	sources
㑳	u+3473	CJK Unified Ideographs Extension A	lim_1997
㑺	u+347a	CJK Unified Ideographs Extension A	ghou_lim_1983
㓦	u+34e6	CJK Unified Ideographs Extension A	lim_1997
㕶	u+3576	CJK Unified Ideographs Extension A	ghou_lim_1983
㖸	u+35b8	CJK Unified Ideographs Extension A	ghou_lim_1983
㖹	u+35b9	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997
㗅	u+35c5	CJK Unified Ideographs Extension A	li_1959
㗑	u+35d1	CJK Unified Ideographs Extension A	ghou_lim_1983;lim_1997
㗱	u+35f1	CJK Unified Ideographs Extension A	li_1959
㘥	u+3625	CJK Unified Ideographs Extension A	lim_1997
㙟	u+365f	CJK Unified Ideographs Extension A	lim_1997
㜁	u+3701	CJK Unified Ideographs Extension A	lim_1997
㜷	u+3737	CJK Unified Ideographs Extension A	li_lim_1992
㞘	u+3798	CJK Unified Ideographs Extension A	lim_1997
㟖	u+37d6	CJK Unified Ideographs Extension A	lim_1997
㟤	u+37e4	CJK Unified Ideographs Extension A	lim_1997
㠖	u+3816	CJK Unified Ideographs Extension A	lim_1997
㦸	u+39b8	CJK Unified Ideographs Extension A	ghou_lim_1983
㧃	u+39c3	CJK Unified Ideographs Extension A	li_1959
㧫	u+39eb	CJK Unified Ideographs Extension A	li_1959
㧻	u+39fb	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997
㨟	u+3a1f	CJK Unified Ideographs Extension A	li_lim_1992
㨮	u+3a2e	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997
㩋	u+3a4b	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997
㩍	u+3a4d	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997
㩒	u+3a52	CJK Unified Ideographs Extension A	lim_1997
㩟	u+3a5f	CJK Unified Ideographs Extension A	lim_1997
㩳	u+3a73	CJK Unified Ideographs Extension A	lim_1997
㩹	u+3a79	CJK Unified Ideographs Extension A	li_lim_1992;lim_1997
㩼	u+3a7c	CJK Unified Ideographs Extension A	ghou_lim_1983;lim_1997
㪖	u+3a96	CJK Unified Ideographs Extension A	li_lim_1992
㪗	u+3a97	CJK Unified Ideographs Extension A	li_lim_1992
㬉	u+3b09	CJK Unified Ideographs Extension A	ghou_lim_1983
㰍	u+3c0d	CJK Unified Ideographs Extension A	li_1959
㲓	u+3c93	CJK Unified Ideographs Extension A	ghou_lim_1983
㴩	u+3d29	CJK Unified Ideographs Extension A	lim_1997
㴷	u+3d37	CJK Unified Ideographs Extension A	lim_1997
㴻	u+3d3b	CJK Unified Ideographs Extension A	ghou_lim_1983
㵐	u+3d50	CJK Unified Ideographs Extension A	ghou_lim_1983;lim_1997
㵾	u+3d7e	CJK Unified Ideographs Extension A	lim_1997
㹭	u+3e6d	CJK Unified Ideographs Extension A	lim_1997
㼆	u+3f06	CJK Unified Ideographs Extension A	ghou_lim_1983;lim_1997
㼦	u+3f26	CJK Unified Ideographs Extension A	li_lim_1992
㼧	u+3f27	CJK Unified Ideographs Extension A	li_lim_1992
㼰	u+3f30	CJK Unified Ideographs Extension A	li_lim_1992
㽀	u+3f40	CJK Unified Ideographs Extension A	li_lim_1992
㽱	u+3f71	CJK Unified Ideographs Extension A	li_lim_1992
㽽	u+3f7d	CJK Unified Ideographs Extension A	zeng_1991
㾪	u+3faa	CJK Unified Ideographs Extension A	ghou_lim_1983;li_lim_1992
㾫	u+3fab	CJK Unified Ideographs Extension A	li_lim_1992
㿜	u+3fdc	CJK Unified Ideographs Extension A	ghou_lim_1983
䀉	u+4009	CJK Unified Ideographs Extension A	ghou_lim_1983
䀛	u+401b	CJK Unified Ideographs Extension A	li_lim_1992
䀨	u+4028	CJK Unified Ideographs Extension A	ghou_lim_1983
䀩	u+4029	CJK Unified Ideographs Extension A	li_lim_1992
䀹	u+4039	CJK Unified Ideographs Extension A	ghou_lim_1983
䃰	u+40f0	CJK Unified Ideographs Extension A	ghou_lim_1983
䄛	u+411b	CJK Unified Ideographs Extension A	li_1959
䆲	u+41b2	CJK Unified Ideographs Extension A	ghou_lim_1983
䊜	u+429c	CJK Unified Ideographs Extension A	ghou_lim_1983
䊦	u+42a6	CJK Unified Ideographs Extension A	li_1959
䋫	u+42eb	CJK Unified Ideographs Extension A	ghou_lim_1983
䎱	u+43b1	CJK Unified Ideographs Extension A	ghou_lim_1983
䏿	u+43ff	CJK Unified Ideographs Extension A	ghou_lim_1983
䐛	u+441b	CJK Unified Ideographs Extension A	ghou_lim_1983
䑩	u+4469	CJK Unified Ideographs Extension A	ghou_lim_1983
